_id,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,country.euCode,country.isoCode,country.name
LY,1,556003,556003,0,556003,556003,495769,495769,0,495769,495769,,LY,Libye
NC,1,240143,240143,0,240143,240143,240143,240143,0,240143,240143,,NC,Nouvelle-Calédonie
AL,1,221870,221870,0,221870,221870,200000,200000,0,200000,200000,,AL,Albanie
TH,2,30000,15000,0,15000,15000,30000,15000,0,15000,15000,,TH,Thaïlande
IR,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,IR,Iran
SN,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,SN,Sénégal
NG,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,NG,Nigeria
UG,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,UG,Ouganda
UZ,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,UZ,Ouzbékistan
GH,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,GH,Ghana
KH,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,KH,Cambodge
BO,1,15000,15000,0,15000,15000,15000,15000,0,15000,15000,,BO,Bolivie
