_id.programme,_id.year,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,programeDesc.RCN,programeDesc.Code,programeDesc.Title,programeDesc.ShortTitle
FP7-REGPOT,2016,53,1.86111552e+08,3.511538716981132e+06,1.3073472997754083e+06,1.150921e+06,6.236754e+06,1.60115695e+08,3.021050849056604e+06,1.12737733334825e+06,1.150921e+06,4.95392e+06,,FP7-REGPOT,"Programme spécifique ""Capacités"": Potentiel de recherche des régions de convergence",Potentiel de recherche des régions de convergence
FP7-SIS,2015,52,1.80623863e+08,3.473535826923077e+06,1.5062376535116553e+06,529839,7.75853e+06,1.47673043e+08,2.8398662115384615e+06,1.3223606527121859e+06,500000,6.942031e+06,,FP7-SIS,"Programme spécifique ""Capacités"": La science dans la société",La science dans la société
FP7-REGIONS,2010,48,5.8932353e+07,1.2277573541666667e+06,917152.0578158757,189840,3.585941e+06,5.0595294e+07,1.054068625e+06,788056.5583764602,169924,2.949032e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-ENVIRONMENT,2017,48,4.34145221e+08,9.044692104166666e+06,3.0313710282612923e+06,2.665241e+06,1.6296451e+07,3.19495459e+08,6.656155395833333e+06,2.4264129227297194e+06,1.789323e+06,1.1988935e+07,,FP7-ENVIRONMENT,"Programme spécifique ""Coopération"": Environnement (y compris les changements climatiques)",Environnement (y compris les changements climatiques)
FP7-REGIONS,2013,41,1.03587938e+08,2.526535073170732e+06,685568.3105884432,216243,3.344483e+06,9.062173e+07,2.2102860975609757e+06,608627.18563068,200000,2.949032e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-REGPOT,2008,41,3.7702126e+07,919564.0487804879,411716.8743654624,39141,1.609499e+06,3.2681702e+07,797114.6829268293,350015.8683905519,34901,1.149978e+06,,FP7-REGPOT,"Programme spécifique ""Capacités"": Potentiel de recherche des régions de convergence",Potentiel de recherche des régions de convergence
FP7-REGIONS,2012,40,8.6656898e+07,2.16642245e+06,920384.77277802,263470,3.585941e+06,7.5407324e+07,1.8851831e+06,800799.0140205532,249085,2.949032e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-JTI,2017,39,5.67188809e+08,1.4543302794871794e+07,2.0042485284442686e+07,999383,9.391997e+07,2.01010841e+08,5.154124128205128e+06,5.499566092920433e+06,661584,2.5907168e+07,,FP7-JTI,"Programme spécifique ""Coopération"": Initiatives technologiques conjointes",Initiatives technologiques conjointes
FP7-EURATOM-FISSION,2009,39,2.20538504e+08,5.654833435897436e+06,7.544262649205792e+06,25000,3.9588707e+07,9.9683271e+07,2.5559813076923075e+06,2.3526565496881003e+06,25000,8.999e+06,,FP7-EURATOM-FISSION,EURATOM: Fission nucléaire et radioprotection,Fission nucléaire et radioprotection
FP7-REGIONS,2009,38,3.2560871e+07,856865.0263157894,582145.6924657664,189840,3.585941e+06,2.7654157e+07,727740.9736842106,471939.0409947859,169924,2.8512e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-INCO,2009,38,5.9549217e+07,1.5670846578947369e+06,1.4064926005093828e+06,486783,4.937798e+06,4.6704678e+07,1.2290704736842106e+06,1.2247196292664988e+06,369821,4.199999e+06,,FP7-INCO,"Programme spécifique ""Capacités"": Coopération internationale",Coopération internationale
FP7-EURATOM-FISSION,2016,37,1.99852115e+08,5.401408513513514e+06,4.0295604259284185e+06,645589,1.5744518e+07,1.19311387e+08,3.224632081081081e+06,2.1902259929464934e+06,530000,8.7e+06,,FP7-EURATOM-FISSION,EURATOM: Fission nucléaire et radioprotection,Fission nucléaire et radioprotection
FP7-SSH,2017,36,1.97654381e+08,5.490399472222222e+06,3.300655542976808e+06,1.642183e+06,1.8181819e+07,1.4639908e+08,4.066641111111111e+06,1.9942572299678922e+06,1.498394e+06,8e+06,,FP7-SSH,"Programme spécifique ""Coopération"": Sciences socio-économiques et humaines",Sciences socio-économiques et humaines
